"publisher","year","quarter","total_points","rank"
"Scholastic","2021","1","206","1"
"Random House Audio","2021","1","125","2"
"Crown","2021","1","119","3"
"HarperCollins","2021","1","93","4"
"Avon","2021","1","90","5"
"Scholastic","2021","2","312","1"
"Little, Brown","2021","2","142","2"
"St. Martin's","2021","2","135","3"
"HarperCollins","2021","2","130","4"
"Square Fish","2021","2","113","5"
"Scholastic","2021","3","263","1"
"Houghton Mifflin Harcourt","2021","3","140","2"
"Avery","2021","3","126","3"
"Threshold Editions","2021","3","113","4"
"Simon & Schuster Audio","2021","3","104","5"
"Little, Brown","2021","3","104","5"
"Scholastic","2021","4","266","1"
"Harper","2021","4","138","2"
"Viking","2021","4","126","3"
"Grand Central","2021","4","122","4"
"Delacorte","2021","4","112","5"
"Scholastic","2022","1","258","1"
"Atria","2022","1","141","2"
"Grand Central","2022","1","131","3"
"Harper","2022","1","126","4"
"Ember","2022","1","126","4"
"Scholastic","2022","2","299","1"
"Putnam","2022","2","144","2"
"Little, Brown","2022","2","136","3"
"Atria","2022","2","135","4"
"Random House","2022","2","133","5"
"Scholastic","2022","3","276","1"
"Grand Central","2022","3","187","2"
"Random House","2022","3","176","3"
"Little, Brown","2022","3","168","4"
"Atria","2022","3","166","5"
"Scholastic","2022","4","217","1"
"Atria","2022","4","212","2"
"Simon & Schuster","2022","4","186","3"
"Simon & Schuster Audio","2022","4","173","4"
"Grand Central","2022","4","150","5"
"Scholastic","2023","1","311","1"
"Atria","2023","1","245","2"
"Random House Audio","2023","1","164","3"
"Random House","2023","1","156","4"
"Simon & Schuster Audio","2023","1","148","5"
"Scholastic","2023","2","343","1"
"Random House Audio","2023","2","227","2"
"Atria","2023","2","172","3"
"Grand Central","2023","2","155","4"
"Doubleday","2023","2","135","5"
"Scholastic","2023","3","363","1"
"Vintage","2023","3","229","2"
"Random House Audio","2023","3","136","3"
"Avery","2023","3","128","4"
"Grand Central","2023","3","124","5"
"Scholastic","2023","4","368","1"
"Red Tower","2023","4","170","2"
"Vintage","2023","4","170","2"
"Simon & Schuster Audio","2023","4","152","4"
"Simon & Schuster","2023","4","150","5"
